Date,^NSEI
2025-07-28,24680.900390625
2025-07-29,24821.099609375
2025-07-30,24855.05078125
2025-07-31,24768.349609375
2025-08-01,24565.349609375
2025-08-04,24722.75
2025-08-05,24649.55078125
2025-08-06,24574.19921875
2025-08-07,24596.150390625
2025-08-08,24363.30078125
2025-08-11,24585.05078125
2025-08-12,24487.400390625
2025-08-13,24619.349609375
2025-08-14,24631.30078125
2025-08-18,24876.94921875
2025-08-19,24980.650390625
2025-08-20,25050.55078125
2025-08-21,25083.75
2025-08-22,24870.099609375
2025-08-25,24967.75
2025-08-26,24712.05078125
2025-08-28,24500.900390625
2025-08-29,24426.849609375
2025-09-01,24625.05078125
2025-09-02,24579.599609375
2025-09-03,24715.05078125
2025-09-04,24734.30078125
2025-09-05,24741.0
2025-09-08,24773.150390625
2025-09-09,24868.599609375
2025-09-10,24973.099609375
2025-09-11,25005.5
2025-09-12,25114.0
2025-09-15,25069.19921875
2025-09-16,25239.099609375
2025-09-17,25330.25
2025-09-18,25423.599609375
2025-09-19,25327.05078125
2025-09-22,25202.349609375
2025-09-23,25169.5
2025-09-24,25056.900390625
2025-09-25,24890.849609375
2025-09-26,24654.69921875
2025-09-29,24634.900390625
2025-09-30,24611.099609375
2025-10-01,24836.30078125
2025-10-03,24894.25
2025-10-06,25077.650390625
2025-10-07,25108.30078125
2025-10-08,25046.150390625
2025-10-09,25181.80078125
2025-10-10,25285.349609375
2025-10-13,25227.349609375
2025-10-14,25145.5
2025-10-15,25323.55078125
2025-10-16,25585.30078125
2025-10-17,25709.849609375
2025-10-20,25843.150390625
2025-10-21,25868.599609375
2025-10-23,25891.400390625
2025-10-24,25795.150390625
2025-10-27,25966.05078125
2025-10-28,25936.19921875
2025-10-29,26053.900390625
2025-10-30,25877.849609375
2025-10-31,25722.099609375
2025-11-03,25763.349609375
2025-11-04,25597.650390625
2025-11-06,25509.69921875
2025-11-07,25492.30078125
2025-11-10,25574.349609375
2025-11-11,25694.94921875
2025-11-12,25875.80078125
2025-11-13,25879.150390625
2025-11-14,25910.05078125
2025-11-17,26013.44921875
2025-11-18,25910.05078125
2025-11-19,26052.650390625
2025-11-20,26192.150390625
2025-11-21,26068.150390625
2025-11-24,25959.5
2025-11-25,25884.80078125
2025-11-26,26205.30078125
2025-11-27,26215.55078125
2025-11-28,26202.94921875
2025-12-01,26175.75
2025-12-02,26032.19921875
2025-12-03,25986.0
2025-12-04,26033.75
2025-12-05,26186.44921875
2025-12-08,25960.55078125
2025-12-09,25839.650390625
2025-12-10,25758.0
2025-12-11,25898.55078125
2025-12-12,26046.94921875
2025-12-15,26027.30078125
2025-12-16,25860.099609375
2025-12-17,25818.55078125
2025-12-18,25815.55078125
2025-12-19,25966.400390625
2025-12-22,26172.400390625
2025-12-23,26177.150390625
2025-12-24,26142.099609375
2025-12-26,26042.30078125
2025-12-29,25942.099609375
2025-12-30,25938.849609375
2025-12-31,26129.599609375
2026-01-01,26146.55078125
2026-01-02,26328.55078125
2026-01-05,26250.30078125
2026-01-06,26178.69921875
2026-01-07,26140.75
2026-01-08,25876.849609375
2026-01-09,25683.30078125
2026-01-12,25790.25
2026-01-13,25732.30078125
2026-01-14,25665.599609375
2026-01-16,25694.349609375
2026-01-19,25585.5
2026-01-20,25232.5
2026-01-21,25157.5
2026-01-22,25289.900390625
2026-01-23,25048.650390625
2026-01-27,25175.400390625
2026-01-28,25342.75
2026-01-29,25418.900390625
2026-01-30,25320.650390625
2026-02-02,25088.400390625
2026-02-03,25727.55078125
2026-02-04,25776.0
2026-02-05,25642.80078125
2026-02-06,25693.69921875
2026-02-09,25867.30078125
2026-02-10,25935.150390625
2026-02-11,25953.849609375
2026-02-12,25807.19921875
2026-02-13,25471.099609375
2026-02-16,25682.75
2026-02-17,25725.400390625
2026-02-18,25819.349609375
2026-02-19,25454.349609375
2026-02-20,25571.25
2026-02-23,25713.0
2026-02-24,25424.650390625
2026-02-25,25482.5
2026-02-26,25496.55078125
2026-02-27,25178.650390625
2026-03-02,24865.69921875
2026-03-04,24480.5
2026-03-05,24765.900390625
2026-03-06,24450.44921875
2026-03-09,24028.05078125
2026-03-10,24261.599609375
2026-03-11,23866.849609375
2026-03-12,23639.150390625
2026-03-13,23151.099609375
2026-03-16,23408.80078125
2026-03-17,23581.150390625
2026-03-18,23777.80078125
